"","block","streetName","streetType","stretTypeNum","streetDirection","overall","crack","patch","length","width","dateRated","dateLastOverlay","flushOil","flushOilNum","class","classnum","pavement","streetID","NumofYrs","predict"
"3009",300,"GLEN","AVE",6,"E",7,3,5,375,25,"6/15/2016",1999,"O",2,"Local",1,"3",12576636,"17",6
"3010",300,"GLEN","AVE",6,"E",7,3,5,375,25,"6/15/2016",1999,"O",2,"Local",1,"3",12576637,"17",6
"3011",300,"GLEN","AVE",6,"E",7,3,5,375,25,"6/15/2016",1999,"O",2,"Local",1,"3",12576647,"17",6
"3012",300,"GLENCOVE","RD",5,"",6,3,5,348,29,"4/15/2016",2002,"O",2,"Local",1,"3",13018677,"14",7
"3013",300,"GLENCOVE","RD",5,"",6,3,5,348,29,"4/15/2016",2002,"O",2,"Local",1,"3",12580976,"14",7
"3014",300,"GLENWOOD","AVE",6,"",6,4,2,300,27,"6/14/2016",2005,"F",3,"MA",3,"6",12572005,"11",6
"3015",300,"GOODRICH","AVE",6,"",8,4,5,528,25,"3/15/2016",2002,"O",2,"Local",1,"3",12576930,"14",8
"3016",300,"GORDON","AVE",6,"",4,2,4,366,27,"4/14/2016",1985,"F",3,"Local",1,"",12572958,"31",4
"3017",300,"GRAND","AVE",6,"",7,3,4,390,27,"6/14/2016",2001,"F",3,"MA",3,"6",12573042,"15",6
"3018",300,"GRAND","AVE",6,"",7,3,4,390,27,"6/14/2016",2001,"F",3,"MA",3,"6",13020707,"15",6
"3019",300,"GRAND","AVE",6,"",7,3,4,390,27,"6/14/2016",2001,"F",3,"MA",3,"6",13020706,"15",6
"3020",300,"GRANGER","ST",3,"",6,4,1,410,18,"4/15/2016",1999,"F",3,"Local",1,"6",12573681,"17",6
"3021",300,"GRANT","AVE",6,"",6,3,3,395,31,"4/14/2016",1985,"O",2,"Local",1,"3",12572965,"31",6
"3022",300,"GRANT","BLVD",10,"",4,2,3,733,35,"4/14/2016",1999,"F",3,"MA",3,"6",12580542,"17",4
"3023",300,"GRANT","BLVD",10,"",4,2,3,733,35,"4/14/2016",1999,"F",3,"MA",3,"6",12580543,"17",4
"3024",300,"GRANT","BLVD",10,"",4,2,3,733,35,"4/14/2016",1999,"F",3,"MA",3,"6",12580541,"17",4
"3025",300,"GREEN","ST",3,"",4,3,2,686,26,"4/15/2016",1988,"F",3,"Local",1,"6",12578079,"28",5
"3026",300,"GREEN","ST",3,"",4,3,2,686,26,"4/15/2016",1988,"F",3,"Local",1,"6",12578094,"28",5
"3027",300,"GREEN","ST",3,"",4,3,2,686,26,"4/15/2016",1988,"F",3,"Local",1,"6",12578286,"28",5
"3028",300,"GREEN","ST",3,"",4,3,2,686,26,"4/15/2016",1988,"F",3,"Local",1,"6",12578096,"28",5
"3029",300,"GREEN","ST",3,"",4,3,2,686,26,"4/15/2016",1988,"F",3,"Local",1,"6",13028395,"28",5
"3030",300,"GREEN","ST",3,"",4,3,2,686,26,"4/15/2016",1988,"F",3,"Local",1,"6",13028394,"28",5
"3031",300,"GREENWAY","AVE",6,"",7,3,5,243,30,"4/14/2016",2005,"F",3,"Local",1,"6",12578361,"11",7
"3032",300,"GREENWAY","AVE",6,"",7,3,5,243,30,"4/14/2016",2005,"F",3,"Local",1,"6",12578362,"11",7
"3033",300,"GREENWOOD","PL",1,"",6,3,3,312,25,"6/15/2016",2000,"F",3,"Local",1,"6",12577633,"16",6
"3034",300,"GRIFFITHS","ST",3,"",4,2,2,312,27,"4/14/2016",1985,"F",3,"Local",1,"6",12580193,"31",4
"3035",300,"HAMILTON","ST",3,"",6,3,4,417,25,"4/15/2016",1999,"O",2,"Local",1,"3",12572827,"17",6
