block,streetName,streetType,stretTypeNum,streetDirection,overall,crack,patch,length,width,dateRated,dateLastOverlay,flushOil,classnum,flushOilNum,class,pavement,streetID,NumofYrs
600,HICKORY,ST,3,,4,2,2,440,27,2/1/2000,1985,,1,1,Local,6,12577982,15
600,HIGHLAND,ST,3,,7,3,4,,,12/1/1998,1985,,1,1,Local,,12580105,13
600,HILLSIDE,ST,3,,7,3,4,,,1/1/2000,1985,,1,1,Local,,12580683,15
600,HIXSON,AVE,6,,8,4,4,520,,3/1/2000,1999,O,1,2,Local,3,12580406,1
600,IRVING,AVE,6,,4,2,2,568,,3/1/2000,1985,,3,1,MA,6,12577759,15
600,JACKSON,ST,3,,7,4,4,500,30,3/1/2000,1985,,1,1,Local,,12577474,15
600,JAMES,ST,3,,7,4,4,900,50,12/1/1998,1983,,4,1,PA,3,12578062,15
600,JOHN,ST,3,,5,3,3,315,34,12/1/1998,1985,F,1,3,Local,6,12580198,13
600,KENSINGTON,RD,5,,6,3,4,380,24,12/1/1999,1985,,1,1,Local,,12578397,14
600,LEMOYNE,AVE,6,,7,4,3,2006.4,36,12/1/1999,1986,,1,1,Local,3,12575267,13
600,LODI,ST,3,,7,4,3,,40,12/1/1999,1999,,3,1,MA,6,12578082,0
600,LOWELL,AVE,6,N,8,4,5,,,12/1/1998,1985,,1,1,Local,,12572878,13
600,LOWELL,AVE,6,N,8,4,5,,,12/1/1998,1985,,1,1,Local,,12572875,13
600,MADISON,ST,3,,4,2,2,1175,30,3/1/2000,1985,,1,1,Local,6,12577778,15
600,MARCELLUS,ST,3,,6,3,3,,35,2/1/2000,1985,,1,1,Local,,12573614,15
600,MARCELLUS,ST,3,,6,3,3,,35,2/1/2000,1985,,1,1,Local,,13028428,15
600,MCBRIDE,ST,3,N,4,2,2,403,30,2/1/2000,1985,,1,1,Local,6,12577980,15
600,MEADOWBROOK,DR,4,,7,3,4,,40,12/1/1998,1985,,1,1,Local,3,12578395,13
600,MEADOWBROOK,DR,4,,7,3,4,,40,12/1/1998,1985,,1,1,Local,3,13001931,13
600,MERTENS,AVE,6,,5,3,3,,25,12/1/1998,1985,,1,1,Local,3,12580473,13
600,MIDLAND,AVE,6,,5,3,2,,,12/1/1998,1985,,3,1,MA,6,13020385,13
600,MIDLAND,AVE,6,,5,3,2,,,12/1/1998,1985,,3,1,MA,6,13002130,13
